CompanyName,CompanyCode,Arrivals,NoOfNights,Adults,Children,RoomRev,FBRev,OtherRev,TotalRev,AvgLeadTime,AvgStayLength,ADR,ATR,LostNights,LostRev
LEXYL TRAVEL TECHNOLOGIES,01657620,2,2,4,0,156.97,0.00,14.21,171.18,-1.00,1.00,78.49,85.59,0,0.00
TRIP.COM,01605480,3,5,6,2,307.74,0.00,30.01,337.75,0.00,1.67,61.55,67.55,0,0.00
DANFOSS,01293740,1,1,1,0,76.14,0.00,6.94,83.08,18.00,1.00,76.14,83.08,0,0.00
CORPORATE TRAVEL MANAGEMENT (C,01685510,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,162.00
CLC LODGING II,01711610,16,36,16,0,2876.00,0.00,256.39,3132.39,0.00,2.88,79.89,87.01,0,0.00
GLOBAL MEDICAL RESPONSE,01591010,1,2,1,0,145.80,0.00,13.48,159.28,9.00,2.00,72.90,79.64,0,0.00
(EPS) EXPEDIA PARTNER SOLUTION,01796740,2,4,3,0,255.30,0.00,108.00,363.30,21.00,2.00,63.83,90.83,0,0.00
TEAM HOUSING SOLUTIONS,01630440,1,2,1,0,137.70,0.00,12.96,150.66,0.00,2.00,68.85,75.33,0,0.00
(EPS) EXPEDIA PARTNER SOLUTION,01846610,1,4,2,0,327.60,0.00,29.31,356.91,34.00,4.00,81.90,89.23,0,0.00
ROCKET TRAVEL,01851320,17,27,35,0,1732.30,0.00,46.94,1779.24,0.00,1.76,64.16,65.90,13,881.82
ADVANTAGE PRIMARY,01377800,1,1,1,0,76.50,0.00,6.98,83.48,13.00,1.00,76.50,83.48,0,0.00
HOTEL ENGINE SUPPLEMENTAL,01851260,6,7,10,0,500.84,0.00,35.76,536.60,0.00,1.17,71.55,76.66,0,0.00
"HOTELBEDS USA, INC",01861670,52,121,79,0,7828.28,0.00,381.03,8209.31,1.00,2.37,64.70,67.85,25,1577.75
HOPPER (USA) INC. (DG/HPCT),01856310,2,3,3,0,215.25,0.00,10.34,225.59,0.00,1.50,71.75,75.20,0,0.00
TONGCHENG (CANADA) LTD.,01879670,1,2,1,0,120.06,0.00,11.80,131.86,0.00,2.00,60.03,65.93,0,0.00
PRICE TRAVEL HOLDING,01645440,1,1,1,0,65.82,0.00,6.27,72.09,1.00,6.00,65.82,72.09,0,0.00
