CompanyName,CompanyCode,Arrivals,NoOfNights,Adults,Children,RoomRev,FBRev,OtherRev,TotalRev,AvgLeadTime,AvgStayLength,ADR,ATR,LostNights,LostRev
ABC GLOBAL SERVICES,00385140,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,89.10
Willow Creek Companies,00000046,1,1,2,0,87.12,0.00,7.66,94.78,-1.00,1.00,87.12,94.78,0,0.00
LEXYL TRAVEL TECHNOLOGIES,01657620,2,5,4,2,392.78,0.00,35.54,428.32,1.00,2.50,78.56,85.66,0,0.00
GE VERNOVA,01648620,1,3,2,0,302.00,0.00,25.64,327.64,5.00,3.00,100.67,109.21,0,0.00
TRIP.COM,01605480,1,1,2,0,68.31,0.00,6.44,74.75,-1.00,1.00,68.31,74.75,1,61.41
CLC LODGING II,01711610,16,20,16,0,1400.00,0.00,131.00,1531.00,0.00,1.50,70.00,76.55,1,70.00
(EPS) EXPEDIA PARTNER SOLUTION,01796740,19,80,34,0,5572.17,0.00,160.00,5732.17,3.00,4.37,69.65,71.65,0,0.00
W2M TRAVEL DMCC,01740910,2,3,3,0,226.50,0.00,10.59,237.09,5.00,1.50,75.50,79.03,0,0.00
LODGELINK,01713820,1,14,2,0,982.80,0.00,91.98,1074.78,8.00,15.00,70.20,76.77,14,1340.00
AMERILINK INTERNATIONAL CORP,01633390,2,2,4,0,141.00,0.00,13.18,154.18,5.00,1.00,70.50,77.09,0,0.00
HOME DEPOT (PREFERRED),01223370,2,8,2,0,750.90,0.00,64.80,815.70,11.00,4.00,93.86,101.96,0,0.00
ROCKET TRAVEL,01851320,9,13,18,0,890.87,0.00,26.00,916.87,0.00,1.56,68.53,70.53,1,75.90
HOTEL ENGINE SUPPLEMENTAL,01851260,2,3,4,0,234.85,0.00,21.27,256.12,4.00,3.00,78.28,85.37,0,0.00
"HOTELBEDS USA, INC",01861670,18,55,32,0,3961.38,0.00,320.24,4281.62,2.00,3.78,72.03,77.85,6,389.85
HOPPER (USA) INC. (DG/HPCT),01856310,1,1,1,0,74.89,0.00,2.00,76.89,6.00,1.00,74.89,76.89,0,0.00
